date,datetime,SACTMIN,SPOSTMIN
06/30/2018,2018-06-30 07:44:06,,150
06/30/2018,2018-06-30 07:51:06,,150
06/30/2018,2018-06-30 07:58:07,,150
06/30/2018,2018-06-30 08:02:08,,150
06/30/2018,2018-06-30 08:07:28,,150
06/30/2018,2018-06-30 08:09:06,,130
06/30/2018,2018-06-30 08:12:17,,135
06/30/2018,2018-06-30 08:16:06,,130
06/30/2018,2018-06-30 08:23:06,,130
06/30/2018,2018-06-30 08:29:06,,130
06/30/2018,2018-06-30 08:37:07,,130
06/30/2018,2018-06-30 08:44:08,,100
06/30/2018,2018-06-30 08:51:07,,100
06/30/2018,2018-06-30 08:52:56,,140
06/30/2018,2018-06-30 08:58:07,,100
06/30/2018,2018-06-30 09:02:07,,100
06/30/2018,2018-06-30 09:09:06,,100
06/30/2018,2018-06-30 09:16:07,,90
06/30/2018,2018-06-30 09:23:06,,90
06/30/2018,2018-06-30 09:29:07,,70
06/30/2018,2018-06-30 09:37:06,,70
06/30/2018,2018-06-30 09:44:07,,90
06/30/2018,2018-06-30 09:51:06,,90
06/30/2018,2018-06-30 09:58:06,,120
06/30/2018,2018-06-30 10:02:07,,120
06/30/2018,2018-06-30 10:06:25,,120
06/30/2018,2018-06-30 10:09:06,,120
06/30/2018,2018-06-30 10:16:06,,120
06/30/2018,2018-06-30 10:23:06,,120
06/30/2018,2018-06-30 10:29:06,,140
06/30/2018,2018-06-30 10:37:06,,140
06/30/2018,2018-06-30 10:44:07,,160
06/30/2018,2018-06-30 10:51:07,,160
06/30/2018,2018-06-30 10:58:06,,160
06/30/2018,2018-06-30 11:02:07,,160
06/30/2018,2018-06-30 11:09:06,,160
06/30/2018,2018-06-30 11:16:08,,160
06/30/2018,2018-06-30 11:23:06,,160
06/30/2018,2018-06-30 11:29:07,,160
06/30/2018,2018-06-30 11:37:07,,190
06/30/2018,2018-06-30 11:44:06,,190
06/30/2018,2018-06-30 11:51:08,,190
06/30/2018,2018-06-30 11:58:08,,190
06/30/2018,2018-06-30 12:02:06,,120
06/30/2018,2018-06-30 12:09:06,,120
06/30/2018,2018-06-30 12:16:06,,120
06/30/2018,2018-06-30 12:23:06,,120
06/30/2018,2018-06-30 12:29:06,,120
06/30/2018,2018-06-30 12:37:06,,100
06/30/2018,2018-06-30 12:44:07,,100
06/30/2018,2018-06-30 12:51:07,,80
06/30/2018,2018-06-30 12:58:07,,70
06/30/2018,2018-06-30 13:02:07,,70
06/30/2018,2018-06-30 13:09:06,,70
06/30/2018,2018-06-30 13:16:08,,70
06/30/2018,2018-06-30 13:23:06,,70
06/30/2018,2018-06-30 13:29:06,,70
06/30/2018,2018-06-30 13:36:31,,-999
06/30/2018,2018-06-30 13:37:07,,-999
06/30/2018,2018-06-30 13:44:07,,-999
06/30/2018,2018-06-30 13:51:06,,-999
06/30/2018,2018-06-30 13:58:07,,120
06/30/2018,2018-06-30 14:02:07,,120
06/30/2018,2018-06-30 14:09:07,,120
06/30/2018,2018-06-30 14:16:07,,120
06/30/2018,2018-06-30 14:23:07,,120
06/30/2018,2018-06-30 14:29:06,,100
06/30/2018,2018-06-30 14:37:07,,120
06/30/2018,2018-06-30 14:44:06,,190
06/30/2018,2018-06-30 14:51:08,,190
06/30/2018,2018-06-30 14:58:08,,190
06/30/2018,2018-06-30 15:02:07,,190
06/30/2018,2018-06-30 15:09:08,,190
06/30/2018,2018-06-30 15:16:07,,115
06/30/2018,2018-06-30 15:23:07,,115
06/30/2018,2018-06-30 15:29:06,,115
06/30/2018,2018-06-30 15:37:06,,75
06/30/2018,2018-06-30 15:44:07,,75
06/30/2018,2018-06-30 15:51:06,,75
06/30/2018,2018-06-30 15:54:45,37,
06/30/2018,2018-06-30 15:58:07,,75
