Variable Category,Variable Name,Variable Description,Format
Main Variables,DATE,"Park Day (not actual date stamp of the wait time, since some are after midnight)",MM/DD/YYY
Pricing Variables,WDW_TICKET_SEASON,Walt Disney World Single Day Price Type,alphanumeric
Day Variables,DAYOFWEEK,Day of Week,numeric
Day Variables,DAYOFYEAR,Day of Year (0 to 365),numeric
Day Variables,WEEKOFYEAR,Week of Year (0 to 53),numeric
Day Variables,MONTHOFYEAR,Month of Year (1 to 12),numeric
Day Variables,YEAR,Year,numeric
Day Variables,SEASON,"Seasonal Category (Fall, Winter, Thanksgiving, etc.)",alphanumeric
Day Variables,HOLIDAYPX,Proximity to Holiday (2-directional) (in days),numeric
Day Variables,HOLIDAYM,Holiday Metric (1 to 5 ranking),numeric
Day Variables,HOLIDAYN,Name of Holiday,alphanumeric
Day Variables,HOLIDAY,Day is a Holiday,Boolean
Day Variables,WDWTICKETSEASON,WDW 1-day ticket season,alphanumeric
Day Variables,WDWRaceN,XXX Event Code,alphanumeric
Day Variables,WDWeventN,XXX Event Code,alphanumeric
Day Variables,WDWevent,WDW Event,Boolean
Day Variables,WDWrace,WDW Race,Boolean
Day Variables,WDWSEASON,WDW Season,alphanumeric
Day Variables,WDWMAXTEMP,WDW Max Temperature,numeric
Day Variables,WDWMINTEMP,WDW Min Temperature,numeric
Day Variables,WDWMEANTEMP,WDW Average Temperature,numeric
Day Variables,MKeventN,Magic Kingdom Event Code,alphanumeric
Day Variables,MKevent,Magic Kingdom Event,Boolean
Day Variables,EPeventN,Epcot Event Code,alphanumeric
Day Variables,EPevent,Epcot Event,Boolean
Day Variables,HSeventN,Hollywood Studios Event Code,alphanumeric
Day Variables,HSevent,Hollywood Studios Event,Boolean
Day Variables,AKeventN,Animal Kingdom Event Code,alphanumeric
Day Variables,AKevent,Animal Kingdom Event,Boolean
Day Variables,HOLIDAYJ,Name of Jewish Holiday,alphanumeric
School Schedules,INSESSION,Percentage of Schools in Session,numeric
School Schedules,INSESSION_ENROLLMENT,Percentage of Schools in Session Weighted by Enrollment,numeric
School Schedules,INSESSION_WDW,Percentage of Schools in Session WDW markets only,numeric
School Schedules,INSESSION_DLR,Percentage of Schools in Session DLR markets only,numeric
School Schedules,INSESSION_SQRT_WDW,Percentage of Schools in Session Weighted by Square Root of Distance to WDW,numeric
School Schedules,INSESSION_SQRT_DLR,Percentage of Schools in Session Weighted by Square Root of Distance to DLR,numeric
School Schedules,INSESSION_CALIFORNIA,Percentage of Schools in Session California Only,numeric
School Schedules,INSESSION_DC,Percentage of Schools in Session D.C. Only,numeric
School Schedules,inSession_Central_FL,Percentage of Schools in Session Within Central Florida Only,numeric
School Schedules,INSESSION_DRIVE1_FL,Percentage of Schools in Session Within Driving Distance to Florida Only,numeric
School Schedules,INSESSION_DRIVE2_FL,Percentage of Schools in Session Within Driving Distance to Florida Only,numeric
School Schedules,INSESSION_DRIVE_CA,Percentage of Schools in Session Within Driving Distance to California Only,numeric
School Schedules,INSESSION_FLORIDA,Percentage of Schools in Session Florida Only,numeric
School Schedules,INSESSION_MARDI_GRAS,Percentage of Schools in Session Mardi Gras States Only,numeric
School Schedules,INSESSION_MIDWEST,Percentage of Schools in Session Midwest Only,numeric
School Schedules,INSESSION_NY_NJ,Percentage of Schools in Session New York and New Jersey Only,numeric
School Schedules,INSESSION_NY_NJ_PA,"Percentage of Schools in Session New York, New Jersey and Pennsylvania Only",numeric
School Schedules,INSESSION_NEW_ENGLAND,Percentage of Schools in Session New England Only,numeric
School Schedules,INSESSION_NEW_JERSEY,Percentage of Schools in Session New Jersey Only,numeric
School Schedules,INSESSION_NOTHWEST,Percentage of Schools in Session Northwest Only,numeric
School Schedules,INSESSION_PLANES,Percentage of Schools in Session Planes Only,numeric
School Schedules,INSESSION_SOCAL,Percentage of Schools in Session Southern California Only,numeric
School Schedules,INSESSION_SOUTHWEST,Percentage of Schools in Session Southwest Only,numeric
Other Key Variables,SUNSET_WDW,Time of Sunset in Orlando,HH:MM
Extra Magic Hours,MKEMHMORN,Magic Kingdom Extra Magic Hour Morning,Boolean
Extra Magic Hours,MKEMHMYEST,Magic Kingdom Extra Magic Hour Morning Yesterday,Boolean
Extra Magic Hours,MKEMHMTOM,Magic Kingdom Extra Magic Hour Morning Tomorrow,Boolean
Extra Magic Hours,MKEMHEVE,Magic Kingdom Extra Magic Hour Evening,Boolean
Extra Magic Hours,MKHOURSEMH,Total Opening Hours including EMH for Magic Kingdom,numeric
Extra Magic Hours,MKHOURSEMHYEST,Yesterday's Total Opening Hours including EMH for Magic Kingdom,numeric
Extra Magic Hours,MKHOURSEMHTOM,Tomorrow's Total Opening Hours including EMH for Magic Kingdom,numeric
Extra Magic Hours,MKEMHEYEST,Magic Kingdom Extra Magic Hour Evening Yesterday,Boolean
Extra Magic Hours,MKEMHETOM,Magic Kingdom Extra Magic Hour Evening Tomorrow,Boolean
Extra Magic Hours,EPEMHMORN,Epcot Extra Magic Hour Morning,Boolean
Extra Magic Hours,EPEMHMYEST,Epcot Extra Magic Hour Morning Yesterday,Boolean
Extra Magic Hours,EPEMHMTOM,Epcot Extra Magic Hour Morning Tomorrow,Boolean
Extra Magic Hours,EPEMHEVE,Epcot Extra Magic Hour Evening,Boolean
Extra Magic Hours,EPEMHEYEST,Epcot Extra Magic Hour Evening Yesterday,Boolean
Extra Magic Hours,EPEMHETOM,Epcot Extra Magic Hour Evening Tomorrow,Boolean
Extra Magic Hours,EPHOURSEMH,Total Opening Hours including EMH for Epcot,numeric
